episode,reward,avg_reward,max_q,reward_var
1889,0.0,122.47586,0.25443143,0.21276751994177975
1890,0.0,122.33569,0.309383,0.21276751994177975
1891,0.9345111,122.35846,23.432749,0.21383654128297205
1892,0.9268745,123.647484,23.407122,0.21756074439126658
1893,0.0,122.78835,-0.32866186,0.21756074439126658
1894,0.0,122.73033,0.08331601,0.2134243831005419
1895,0.9792011,123.2848,24.008577,0.21839751709777794
1896,0.9979835,123.372246,24.19886,0.22038252052374696
1897,0.95410484,124.35379,24.002129,0.21960050962501976
1898,0.0,125.474464,0.09359449,0.21960050962501976
1899,0.0,125.16704,0.057763398,0.21960050962501976
1900,0.0,124.21335,0.27800626,0.2146886846176248
1901,0.0,125.00709,-0.031165585,0.20984540425633708
1902,0.0,124.3442,-0.014388859,0.20984540425633708
1903,0.94897765,124.382904,23.916874,0.20893663143420724
1904,0.8895262,125.40292,23.431395,0.20644641043363648
1905,0.0,125.38404,0.075839505,0.20005904878704195
1906,0.0,124.259674,0.054083183,0.20005904878704195
1907,0.0,123.670296,0.43681273,0.20005904878704195
1908,0.0,123.39778,0.16105933,0.1921993843243469
1909,0.96596843,124.48412,24.10608,0.1992138986322801
1910,0.90493006,125.4385,23.743742,0.20396688652882794
1911,0.92727065,125.81101,23.843927,0.20856653805451647
1912,0.9459732,127.03063,24.167025,0.21460499484298198
1913,0.0,127.71534,0.11198513,0.21460499484298198
1914,0.9919203,128.8034,24.77381,0.21454068162705456
1915,0.0,128.31616,-0.065771356,0.2095066745751629
1916,0.0,128.04242,-0.0046115667,0.2095066745751629
1917,0.97269946,128.97336,24.593458,0.21495440012752784
1918,0.9513295,130.23604,24.57156,0.21542683865585807
1919,0.0,129.59688,0.030338764,0.21542683865585807
1920,0.9183693,130.26018,24.191639,0.2188282547458307
1921,0.0,129.25522,0.17432466,0.2188282547458307
1922,0.90025294,129.3608,24.128626,0.21695971644844672
1923,0.0,128.13304,0.15980577,0.2137825694295907
1924,0.8608676,128.12431,23.873138,0.21602916929462412
1925,0.96334636,129.26413,24.852055,0.21984066728673968
1926,0.98466647,130.48569,25.10058,0.22338203581990101
1927,0.94449216,131.80112,24.675377,0.22521137603780916
1928,0.97189575,132.88185,25.097158,0.2276037565375303
1929,0.0,132.96097,-0.30046004,0.2276037565375303
1930,0.0,132.41068,0.06419273,0.22590090324124218
1931,0.0,131.15387,0.13901551,0.22590090324124218
